source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.18185146152973175,1.4040358564670896e-07,0.865131676197052,9,66,0.88,,0.12
02rain,False,75,0.2314174324274063,0.0017368890112265944,0.924543559551239,14,61,0.8133333333333334,,0.18666666666666668
03thunderstorm,False,75,0.026165036484599113,1.939266240924553e-07,0.37743932008743286,0,75,1.0,,0.0
04waterdrops,False,75,0.15220405161380768,0.0004036383470520377,0.7597974538803101,9,66,0.88,,0.12
05wind,False,75,0.15860120952129364,0.0019921462517231703,0.8586457967758179,6,69,0.92,,0.08
06silence,False,75,0.13716396689414978,0.0005713075515814126,0.7507224082946777,3,72,0.96,,0.04
07treefalling,False,75,0.23269012570381165,0.0014787637628614902,0.9029253125190735,11,64,0.8533333333333334,,0.14666666666666667
08helicopter,False,75,0.06003187224268913,1.7425395526515786e-06,0.9280472993850708,2,73,0.9733333333333334,,0.02666666666666667
09vehicleengine,False,75,0.08285399526357651,1.301871998293791e-05,0.8556029796600342,4,71,0.9466666666666667,,0.05333333333333334
10axe,False,75,0.05509147047996521,4.926586143483291e-07,0.33716076612472534,0,75,1.0,,0.0
11chainsaw,False,75,0.1627662032842636,0.00022308132611215115,0.8452062010765076,8,67,0.8933333333333333,,0.10666666666666667
12generator,False,75,0.10106831043958664,1.4245263628254179e-05,0.8645808100700378,6,69,0.92,,0.08
13handsaw,False,75,0.11905810981988907,2.153323293896392e-05,0.7141550183296204,4,71,0.9466666666666667,,0.05333333333333334
14firework,False,75,0.08861195296049118,2.6533207346801646e-06,0.9592439532279968,4,71,0.9466666666666667,,0.05333333333333334
15gunshot,False,75,0.066911980509758,2.6475140302295586e-08,0.7482629418373108,2,73,0.9733333333333334,,0.02666666666666667
16woodchop,False,75,0.11203321814537048,6.691502818512163e-08,0.8837394118309021,5,70,0.9333333333333333,,0.06666666666666667
17whistling,False,75,0.09171022474765778,1.5064758827065816e-06,0.7821084856987,4,71,0.9466666666666667,,0.05333333333333334
18speaking,False,75,0.1470230668783188,6.322178523987532e-05,0.898484468460083,6,69,0.92,,0.08
19footsteps,False,75,0.23821747303009033,0.00010520120122237131,0.872334361076355,12,63,0.84,,0.16
20clapping,False,75,0.06452644616365433,2.1049395559913364e-09,0.8882244825363159,1,74,0.9866666666666667,,0.013333333333333334
21insect,False,75,0.2357870489358902,2.1418520191218704e-05,0.9319427013397217,11,64,0.8533333333333334,,0.14666666666666667
22frog,False,75,0.10449417680501938,4.1845856912914314e-07,0.8279098868370056,5,70,0.9333333333333333,,0.06666666666666667
23birdchirping,True,75,0.9225065112113953,0.06714175641536713,0.9992985129356384,73,73,0.9733333333333334,0.9733333333333334,
24wingflapping,True,75,0.7312573790550232,0.009603990241885185,0.9911734461784363,62,62,0.8266666666666667,0.8266666666666667,
25lion,False,75,0.10042940080165863,3.869898500852287e-05,0.6145354509353638,3,72,0.96,,0.04
26wolfhowl,False,75,0.03393115848302841,7.660747769477894e-08,0.6017667055130005,1,74,0.9866666666666667,,0.013333333333333334
27squirrel,False,75,0.19867922365665436,0.00013303800369612873,0.8600292205810547,10,65,0.8666666666666667,,0.13333333333333333
