source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.03399554640054703,1.0562494628940655e-10,0.9089722037315369,2,73,0.9733333333333334,,0.02666666666666667
02rain,False,75,0.1052631139755249,8.302049536723644e-08,0.9503950476646423,7,68,0.9066666666666666,,0.09333333333333334
03thunderstorm,False,75,0.00044498100760392845,3.7319786150291634e-11,0.00743244169279933,0,75,1.0,,0.0
04waterdrops,False,75,0.03366487845778465,1.4811095461197965e-08,0.7218707203865051,1,74,0.9866666666666667,,0.013333333333333334
05wind,False,75,0.02206527814269066,9.021709956869017e-06,0.4890674948692322,0,75,1.0,,0.0
06silence,False,75,0.028871959075331688,8.041529042657203e-08,0.6000103950500488,1,74,0.9866666666666667,,0.013333333333333334
07treefalling,False,75,0.05455920472741127,1.6467431862565718e-09,0.8466819524765015,3,72,0.96,,0.04
08helicopter,False,75,0.026665732264518738,8.711727086246901e-13,0.5447673797607422,2,73,0.9733333333333334,,0.02666666666666667
09vehicleengine,False,75,0.03692970052361488,3.518731833684896e-11,0.7390031218528748,3,72,0.96,,0.04
10axe,False,75,0.005540354643017054,7.071977552175479e-12,0.19754789769649506,0,75,1.0,,0.0
11chainsaw,False,75,0.07371364533901215,3.1773680908564472e-12,0.9430041313171387,5,70,0.9333333333333333,,0.06666666666666667
12generator,False,75,0.03532128408551216,8.383216863749876e-12,0.679009735584259,1,74,0.9866666666666667,,0.013333333333333334
13handsaw,False,75,0.020502714440226555,1.361633982649435e-11,0.7465723156929016,1,74,0.9866666666666667,,0.013333333333333334
14firework,False,75,0.029110562056303024,3.6859063023975125e-10,0.9257531762123108,2,73,0.9733333333333334,,0.02666666666666667
15gunshot,False,75,0.01103366818279028,6.612074033912271e-14,0.7310418486595154,1,74,0.9866666666666667,,0.013333333333333334
16woodchop,False,75,0.01689228229224682,1.728776356010181e-13,0.7398106455802917,1,74,0.9866666666666667,,0.013333333333333334
17whistling,False,75,0.013463899493217468,2.6033489600174597e-11,0.3485471308231354,0,75,1.0,,0.0
18speaking,False,75,0.027895215898752213,1.033880536738252e-08,0.7025887370109558,1,74,0.9866666666666667,,0.013333333333333334
19footsteps,False,75,0.08024408668279648,4.1050749605142656e-11,0.7576473355293274,5,70,0.9333333333333333,,0.06666666666666667
20clapping,False,75,0.010036096908152103,1.9427816018262323e-13,0.4569982886314392,0,75,1.0,,0.0
21insect,False,75,0.11071928590536118,1.1246204661974346e-10,0.8811630606651306,6,69,0.92,,0.08
22frog,False,75,0.015581167303025723,2.5857782711899424e-13,0.44626742601394653,0,75,1.0,,0.0
23birdchirping,True,75,0.8658125996589661,0.006926406640559435,0.9970090389251709,67,67,0.8933333333333333,0.8933333333333333,
24wingflapping,True,75,0.6450023651123047,0.00011103874567197636,0.9672278761863708,54,54,0.72,0.72,
25lion,False,75,0.009489575400948524,1.7070721503031905e-09,0.25332239270210266,0,75,1.0,,0.0
26wolfhowl,False,75,0.008941803127527237,1.6925740323192606e-12,0.5523707866668701,1,74,0.9866666666666667,,0.013333333333333334
27squirrel,False,75,0.041831787675619125,5.187404212847468e-07,0.8842158913612366,2,73,0.9733333333333334,,0.02666666666666667
